i,id,time,hz,n,sd,ci,Mussel_ID,Rep,Length(mm),Time_Machine,Time_real,Sensor_ID,Line_ID,Beaker_ID,Group,P_Status,Status,Intensity,Note,bpm
2,Mussel_16,2025-06-24T09:40:00Z,0.558,5,0.0537280187611641,0.105306916771882,P33,2,29.8,9:36-10:06,11:36-12:06,B,B6,14,HS,uninfected,uninfected,0,NA,33.480000000000004
2,Mussel_17,2025-06-24T09:40:00Z,0.625,5,0.0159122594247329,0.0311880284724764,G43,2,33.1,9:36-10:06,11:36-12:06,B,B7,15,Control,infected,infected,26,NA,37.5
2,Mussel_18,2025-06-24T09:40:00Z,0.331,5,0.0956556323485449,0.187485039403148,P4,2,28.9,9:36-10:06,11:36-12:06,B,B8,16,Control,uninfected,uninfected,0,NA,19.86
3,Mussel_11,2025-06-24T09:45:00Z,0.266,5,0.124644695033523,0.244303602265705,G18,2,33,9:36-10:06,11:36-12:06,B,B1,9,CM,infected,infected,11,NA,15.96
3,Mussel_12,2025-06-24T09:45:00Z,0.256,5,0.11305175805798,0.22158144579364,P7,2,30.8,9:36-10:06,11:36-12:06,B,B2,10,CM,uninfected,uninfected,0,NA,15.36
3,Mussel_13,2025-06-24T09:45:00Z,0.425,5,0.0279141541157886,0.0547117420669457,G52,2,31.5,9:36-10:06,11:36-12:06,B,B3,11,HT,infected,infected,8,NA,25.5
3,Mussel_14,2025-06-24T09:45:00Z,0.481,5,0.030607188698082,0.0599900898482408,P38,2,34.6,9:36-10:06,11:36-12:06,B,B4,12,HT,uninfected,uninfected,0,NA,28.86
3,Mussel_15,2025-06-24T09:45:00Z,0.57,5,0.149480767993746,0.292982305267741,G35,2,34.2,9:36-10:06,11:36-12:06,B,B5,13,HS,infected,infected,30,NA,34.199999999999996
3,Mussel_16,2025-06-24T09:45:00Z,0.532,5,0.130724137021439,0.256219308562021,P33,2,29.8,9:36-10:06,11:36-12:06,B,B6,14,HS,uninfected,uninfected,0,NA,31.92
3,Mussel_17,2025-06-24T09:45:00Z,0.564,5,0.0106066017177982,0.0207889393668844,G43,2,33.1,9:36-10:06,11:36-12:06,B,B7,15,Control,infected,infected,26,NA,33.839999999999996
3,Mussel_18,2025-06-24T09:45:00Z,0.205,5,0.0619943545816875,0.121508934980108,P4,2,28.9,9:36-10:06,11:36-12:06,B,B8,16,Control,uninfected,uninfected,0,NA,12.299999999999999
4,Mussel_11,2025-06-24T09:50:00Z,0.476,5,0.12653971708519,0.248017845486973,G18,2,33,9:36-10:06,11:36-12:06,B,B1,9,CM,infected,infected,11,NA,28.56
4,Mussel_12,2025-06-24T09:50:00Z,0.261,5,0.0707226979123393,0.138616487908185,P7,2,30.8,9:36-10:06,11:36-12:06,B,B2,10,CM,uninfected,uninfected,0,NA,15.66
4,Mussel_13,2025-06-24T09:50:00Z,0.457,5,0.0709563245947815,0.139074396205772,G52,2,31.5,9:36-10:06,11:36-12:06,B,B3,11,HT,infected,infected,8,NA,27.42
4,Mussel_14,2025-06-24T09:50:00Z,0.447,5,0.0272176413379264,0.0533465770223357,P38,2,34.6,9:36-10:06,11:36-12:06,B,B4,12,HT,uninfected,uninfected,0,NA,26.82
4,Mussel_15,2025-06-24T09:50:00Z,0.535,5,0.0350356960827097,0.068669964322111,G35,2,34.2,9:36-10:06,11:36-12:06,B,B5,13,HS,infected,infected,30,NA,32.1
4,Mussel_16,2025-06-24T09:50:00Z,0.272,5,0.175888316837702,0.344741101001897,P33,2,29.8,9:36-10:06,11:36-12:06,B,B6,14,HS,uninfected,uninfected,0,NA,16.32
4,Mussel_17,2025-06-24T09:50:00Z,0.522,5,0.0160872620417522,0.0315310336018343,G43,2,33.1,9:36-10:06,11:36-12:06,B,B7,15,Control,infected,infected,26,NA,31.32
4,Mussel_18,2025-06-24T09:50:00Z,0.55,5,0.120964870933672,0.237091147029998,P4,2,28.9,9:36-10:06,11:36-12:06,B,B8,16,Control,uninfected,uninfected,0,NA,33
5,Mussel_11,2025-06-24T09:55:00Z,0.553,5,0.184365669255423,0.361356711740629,G18,2,33,9:36-10:06,11:36-12:06,B,B1,9,CM,infected,infected,11,NA,33.18
5,Mussel_12,2025-06-24T09:55:00Z,0.267,5,0.138404118435833,0.271272072134232,P7,2,30.8,9:36-10:06,11:36-12:06,B,B2,10,CM,uninfected,uninfected,0,NA,16.02
5,Mussel_13,2025-06-24T09:55:00Z,0.487,5,0.0115887876846545,0.0227140238619228,G52,2,31.5,9:36-10:06,11:36-12:06,B,B3,11,HT,infected,infected,8,NA,29.22
5,Mussel_14,2025-06-24T09:55:00Z,0.422,5,0.0113666177907062,0.0222785708697842,P38,2,34.6,9:36-10:06,11:36-12:06,B,B4,12,HT,uninfected,uninfected,0,NA,25.32
5,Mussel_15,2025-06-24T09:55:00Z,0.231,5,0.161441010898718,0.316424381361487,G35,2,34.2,9:36-10:06,11:36-12:06,B,B5,13,HS,infected,infected,30,NA,13.860000000000001
5,Mussel_16,2025-06-24T09:55:00Z,0.516,5,0.0128257553383807,0.0251384804632261,P33,2,29.8,9:36-10:06,11:36-12:06,B,B6,14,HS,uninfected,uninfected,0,NA,30.96
5,Mussel_17,2025-06-24T09:55:00Z,0.491,5,0.0172191753577225,0.0337495837011362,G43,2,33.1,9:36-10:06,11:36-12:06,B,B7,15,Control,infected,infected,26,NA,29.46
5,Mussel_18,2025-06-24T09:55:00Z,0.516,5,0.123005284439328,0.241090357501083,P4,2,28.9,9:36-10:06,11:36-12:06,B,B8,16,Control,uninfected,uninfected,0,NA,30.96
