Mussel_ID;Rep;ArenaID;Byssus;Byssus_Threads;Start_Time;Aggregated;Type;Amax (%);k;Time;Cluster_Score;Group;Byssus_Threads;Length(mm);P_Status;Status;Intensity;Notes
B28;2;HS1;3;0;NA;no;NA;NA;NA;11:35-13:35;;HS;0;31.5;uninfected;uninfected;0;
B47;2;HS1;3;0;NA;no;NA;NA;NA;11:35-13:35;;HS;0;28.9;uninfected;uninfected;0;
P36;2;HS1;3;0;NA;no;NA;NA;NA;11:35-13:35;;HS;0;27.6;uninfected;uninfected;0;
P39;2;HS1;3;3;NA;no;NA;NA;NA;11:35-13:35;;HS;3;35.4;uninfected;uninfected;0;
P50;2;HS1;3;0;NA;no;NA;NA;NA;11:35-13:35;;HS;0;36.7;uninfected;uninfected;0;
P6;2;HS1;3;0;NA;no;NA;NA;NA;11:35-13:35;;HS;0;33;uninfected;uninfected;0;
P77;2;HS1;3;0;NA;no;NA;NA;NA;11:35-13:35;;HS;0;39.5;uninfected;uninfected;0;
G37;2;HS2;5;0;7;yes;transient;NA;NA;11:35-13:35;;HS;0;29.4;infected;infected;10;
G61;2;HS2;5;3;7;yes;transient;NA;NA;11:35-13:35;;HS;3;34.7;infected;infected;13;
Y30;2;HS2;5;0;7;yes;transient;NA;NA;11:35-13:35;;HS;0;36.2;infected;infected;23;
Y61;2;HS2;5;2;7;yes;transient;NA;NA;11:35-13:35;;HS;2;36.2;infected;infected;9;
Y66;2;HS2;5;0;7;yes;transient;NA;NA;11:35-13:35;;HS;0;36;infected;infected;7;
Y77;2;HS2;5;0;7;yes;transient;NA;NA;11:35-13:35;;HS;0;29;infected;infected;3;
Y8;2;HS2;5;0;7;yes;transient;NA;NA;11:35-13:35;;HS;0;36.3;infected;infected;24;
G15;2;HT1;10;2;31;yes;sustained;57,14;54,15;11:35-13:35;;HT;2;23.7;infected;infected;8; 
G22;2;HT1;10;1;31;yes;sustained;57,14;54,15;11:35-13:35;;HT;1;35;infected;infected;NA;"Died during dissection; parasite load could not be determined."
G74;2;HT1;10;0;31;yes;sustained;57,14;54,15;11:35-13:35;;HT;0;35.1;infected;infected;12;
Y1;2;HT1;10;2;31;yes;sustained;57,14;54,15;11:35-13:35;;HT;2;26.3;infected;infected;6;
Y26;2;HT1;10;5;31;yes;sustained;57,14;54,15;11:35-13:35;;HT;5;36.1;infected;infected;9;
Y54;2;HT1;10;0;31;yes;sustained;57,14;54,15;11:35-13:35;;HT;0;36.4;infected;infected;18;
Y55;2;HT1;10;0;31;yes;sustained;57,14;54,15;11:35-13:35;;HT;0;26.9;infected;infected;4;
B1;2;HT2;7;0;26;yes;sustained;57,14;46,04;11:35-13:35;;HT;0;35.6;uninfected;uninfected;0;
B30;2;HT2;7;0;26;yes;sustained;57,14;46,04;11:35-13:35;;HT;0;36.9;uninfected;uninfected;0;
B91;2;HT2;7;1;26;yes;sustained;57,14;46,04;11:35-13:35;;HT;1;30.8;uninfected;uninfected;0;
P19;2;HT2;7;2;26;yes;sustained;57,14;46,04;11:35-13:35;;HT;2;35.5;uninfected;uninfected;0;
P60;2;HT2;7;1;26;yes;sustained;57,14;46,04;11:35-13:35;;HT;1;29.3;uninfected;uninfected;0;
P72;2;HT2;7;1;26;yes;sustained;57,14;46,04;11:35-13:35;;HT;1;37.2;uninfected;uninfected;0;
P98;2;HT2;7;2;26;yes;sustained;57,14;46,04;11:35-13:35;;HT;2;37.6;uninfected;uninfected;0;
G21;3;CMA;6;2;NA;no;NA;NA;NA;11:39-13:39;;CM;2;34;infected;infected;15;
G3;3;CMA;6;0;NA;no;NA;NA;NA;11:39-13:39;;CM;0;36.6;infected;infected;3;
G60;3;CMA;6;0;NA;no;NA;NA;NA;11:39-13:39;;CM;0;37.3;infected;infected;23;
Y11;3;CMA;6;2;NA;no;NA;NA;NA;11:39-13:39;;CM;2;27.4;infected;infected;79;
Y47;3;CMA;6;0;NA;no;NA;NA;NA;11:39-13:39;;CM;0;28.2;infected;infected;11;
Y70;3;CMA;6;2;NA;no;NA;NA;NA;11:39-13:39;;CM;2;35.6;infected;infected;31;
Y87;3;CMA;6;0;NA;no;NA;NA;NA;11:39-13:39;;CM;0;34;infected;infected;20;
B13;3;CMB;7;2;8;yes;sustained;32,98;13,57;11:39-13:39;;CM;2;37.2;uninfected;uninfected;0;
B22;3;CMB;7;0;8;yes;sustained;32,98;13,57;11:39-13:39;;CM;0;30;uninfected;uninfected;0;
B44;3;CMB;7;1;8;yes;sustained;32,98;13,57;11:39-13:39;;CM;1;30.8;uninfected;uninfected;0;
B54;3;CMB;7;0;8;yes;sustained;32,98;13,57;11:39-13:39;;CM;0;34.4;uninfected;uninfected;0;
B90;3;CMB;7;4;8;yes;sustained;32,98;13,57;11:39-13:39;;CM;4;33.8;uninfected;uninfected;0;
P33;3;CMB;7;0;8;yes;sustained;32,98;13,57;11:39-13:39;;CM;0;29.8;uninfected;uninfected;0;
P41;3;CMB;7;0;8;yes;sustained;32,98;13,57;11:39-13:39;;CM;0;28.9;uninfected;uninfected;0;
B15;3;ControlA;3;0;42;yes;sustained;35,57;62,67;11:39-13:39;;Control;0;34.2;uninfected;uninfected;0;
B32;3;ControlA;3;2;42;yes;sustained;35,57;62,67;11:39-13:39;;Control;2;35.8;uninfected;uninfected;0;
B37;3;ControlA;3;0;42;yes;sustained;35,57;62,67;11:39-13:39;;Control;0;32;uninfected;uninfected;0;
P23;3;ControlA;3;0;42;yes;sustained;35,57;62,67;11:39-13:39;;Control;0;34.5;uninfected;uninfected;0;
P28;3;ControlA;3;1;42;yes;sustained;35,57;62,67;11:39-13:39;;Control;1;30;uninfected;uninfected;0;
