Mussel_ID;Time_Machine;Rep;Sensor_ID;Line_ID;Gt1_1;Window6(min);Gt1;Window1(min);Gt4;Window4(min);Gt5;Window5(min);Gt2;Window2(min);Gt3;Window3(min);Beaker_ID;Group;File_name;P_Status;Status;Length(mm);Intensity;Note
G69;12:35-13:05;8;B;8;0.523;0-30;0.532;0-30;0.614;5-30;0.689;10-30;0.112 ;0-5;0.214;0-10;1;CM;00000014.DAT;infected;infected;34,9;16;
B49;12:35-13:05;8;B;2;0.136;0-30;0.111;0-30;0.133;5-30;0.165;10-30;0.00157;0-5;0.00214;0-10;2;CM;00000014.DAT;uninfected;uninfected;32,1;0;
G76;12:35-13:05;8;B;4;0.278;0-30;0.236;0-30;0.271;5-30;0.323;10-30;0.0543 ;0-5;0.0566 ;0-10;3;HS;00000014.DAT;infected;infected;33,3;6;
B85;12:35-13:05;8;B;7;0.633;0-30;0.594;0-30;0.694;5-30;0.709;10-30;0.106 ;0-5;0.370;0-10;4;HS;00000014.DAT;uninfected;uninfected;31,6;0;
G51;12:35-13:05;8;A;1;0.573;0-30;0.557;0-30;0.649;5-30;0.703;10-30;0.0900 ;0-5;0.2595499;0-10;5;HT;00000014.DAT;infected;infected;34;16;
B91;12:35-13:05;8;A;3;0.122;0-30;0.127;0-30;0.143;5-30;0.174;10-30;0.0205 ;0-5;0.01788241;0-10;6;HT;00000014.DAT;uninfected;uninfected;30,8;0;
G75;12:35-13:05;8;A;4;0.729;0-30;0.732;0-30;0.767;5-30;0.804;10-30;0.547 ;0-5;0.5828856;0-10;7;Control;00000014.DAT;infected;infected;28,3;5;
B28;12:35-13:05;8;A;7;0.533;0-30;0.524;0-30;0.626 ;5-30;0.773;10-30;0.000655;0-5;0.01880505;0-10;8;Control;00000014.DAT;uninfected;uninfected;31,5;0;
Y46;14:00-14:30;9;B;8;0.473;0-30;0.471;0-30;0.562;5-30;0.622;10-30;0.0169 ;0-5;0.169;0-10;1;CM;00000015.DAT;infected;infected;33,5;2;
B81;14:00-14:30;9;B;2;0.166;0-30;0.152;0-30;0.180;5-30;0.223;10-30;0.00158;0-5;0.00316 ;0-10;2;CM;00000015.DAT;uninfected;uninfected;33,4;0;
Y40;14:00-14:30;9;B;4;0.530;0-30;0.525 ;0-30;0.565;5-30;0.593 ;10-30;0.316;0-5;0.384;0-10;3;HS;00000015.DAT;infected;infected;30,6;14;
B51;14:00-14:30;9;B;7;0.498;0-30;0.477;0-30;0.442;5-30;0.342;10-30; 0.668  ;0-5;0.757;0-10;4;HS;00000015.DAT;uninfected;uninfected;34,9;0;
Y88;14:00-14:30;9;A;1;0.286;0-30;0.282 ;0-30;0.330 ;5-30;0.411;10-30;0.0146 ;0-5;0.0112 ;0-10;5;HT;00000015.DAT;infected;infected;31,6;15;
B80;14:00-14:30;9;A;3;0.616;0-30;0.613;0-30;0.733;5-30;0.892;10-30;0.000896;0-5;0.0478;0-10;6;HT;00000015.DAT;uninfected;uninfected;28,7;0;
Y3;14:00-14:30;9;A;4;0.404;0-30;0.405;0-30;0.311;5-30;0.241;10-30;0.887;0-5;0.737;0-10;7;Control;00000015.DAT;infected;infected;32,2;17;
B75;14:00-14:30;9;A;7;0.259;0-30;0.260;0-30;0.160;5-30;0.120;10-30;0.760 ;0-5;0.541;0-10;8;Control;00000015.DAT;uninfected;uninfected;31,1;0;
G52;15:35-16:05;10;B;8;0.634;0-30;0.634;0-30;0.710;5-30;0.784;10-30;0.242;0-5;0.328;0-10;1;CM;00000016.DAT;infected;infected;31,5;8;
P22;15:35-16:05;10;B;2;0.371;0-30;0.371 ;0-30;0.359;5-30;0.359;10-30;0.423;0-5;0.389;0-10;2;CM;00000016.DAT;uninfected;uninfected;35;0;
G10;15:35-16:05;10;B;4;0.487;0-30;0.552;0-30;0.513;5-30;0.455;10-30;0.756;0-5;0.751;0-10;3;HS;00000016.DAT;infected;infected;33;6;
P6;15:35-16:05;10;B;7;0.413;0-30;0.405;0-30;0.474;5-30;0.544;10-30;0.0395;0-5;0.115;0-10;4;HS;00000016.DAT;uninfected;uninfected;33;0;
G37;15:35-16:05;10;A;1;0.627;0-30;0.624;0-30;0.592 ;5-30;0.515;10-30;0.803 ;0-5;0.852;0-10;5;HT;00000016.DAT;infected;infected;29,4;10;
P51;15:35-16:05;10;A;3;0.588;0-30;0.554;0-30;0.623;5-30;0.677;10-30;0.203 ;0-5;0.306;0-10;6;HT;00000016.DAT;uninfected;uninfected;31;0;
G5;15:35-16:05;10;A;4;0.522;0-30;0.538;0-30;0.507;5-30;0.510;10-30;0.691 ;0-5;0.591;0-10;7;Control;00000016.DAT;infected;infected;28,5;15;
P60;15:35-16:05;10;A;7;0.482;0-30;0.468 ;0-30;0.545;5-30;0.630;10-30;0.0723;0-5;0.137;0-10;8;Control;00000016.DAT;uninfected;uninfected;29,3;0;
G98;16:55-17:25;11;B;8;0.495;0-30;0.376;0-30;0.382;5-30;0.362;10-30;0.359;0-5;0.411;0-10;1;CM;00000017.DAT;infected;infected;33,6;12;
B11;16:55-17:25;11;B;2;0.680;0-30;0.342;0-30;0.340;5-30;0.325;10-30;0.358;0-5;0.379;0-10;2;CM;00000017.DAT;uninfected;uninfected;33,5;0;
G18;16:55-17:25;11;B;4;0.302;0-30;0.310 ;0-30;0.337;5-30;0.392;10-30;0.148;0-5;0.133;0-10;3;HS;00000017.DAT;infected;infected;33;11;
B55;16:55-17:25;11;B;7;0.688;0-30;0.681;0-30;0.761;5-30;0.762;10-30;0.283;0-5;0.521;0-10;4;HS;00000017.DAT;uninfected;uninfected;33,6;0;
G89;16:55-17:25;11;A;1;0.485;0-30;0.489;0-30;0.401;5-30;0.335;10-30;0.947;0-5;0.804;0-10;5;HT;00000017.DAT;infected;infected;29;2;
B47;16:55-17:25;11;A;3;0.548;0-30;0.602;0-30;0.651;5-30;0.680;10-30;0.353;0-5;0.444;0-10;6;HT;00000017.DAT;uninfected;uninfected;28,9;0;
G81;16:55-17:25;11;A;4;0.745;0-30;0.748;0-30;0.817;5-30;0.799;10-30;0.404;0-5;0.646;0-10;7;Control;00000017.DAT;infected;infected;30;18;
B74;16:55-17:25;11;A;7;0.705;0-30;0.695;0-30;0.805;5-30;0.776;10-30;0.146;0-5;0.535;0-10;8;Control;00000017.DAT;uninfected;uninfected;32,5;0;
G77;11:00-11:30;12;B;8;0.541;0-30;0.545;0-30;0.558;5-30;0.568;10-30;0.478;0-5;0.498;0-10;1;CM;00000018.DAT;infected;infected;33,2;33;
B87;11:00-11:30;12;B;2;0.192;0-30;0.172;0-30;0.196;5-30;0.237;10-30;0.0457;0-5;0.0400;0-10;2;CM;00000018.DAT;uninfected;uninfected;34,9;0;
G7;11:00-11:30;12;B;6;0.474;0-30;0.431;0-30;0.367;5-30;0.295;10-30;0.762 ;0-5;0.709 ;0-10;3;HS;00000018.DAT;infected;infected;34,2;2;
B15;11:00-11:30;12;B;7;0.624;0-30;0.621;0-30;0.673;5-30;0.660;10-30;0.358 ;0-5;0.543;0-10;4;HS;00000018.DAT;uninfected;uninfected;34,2;0;
G49;11:00-11:30;12;A;1;0.607;0-30;0.595;0-30;0.683;5-30;0.685;10-30;0.158  ;0-5;0.415 ;0-10;5;HT;00000018.DAT;infected;infected;33,7;6;
B83;11:00-11:30;12;A;3;0.339;0-30;0.341;0-30;0.404;5-30;0.499 ;10-30;0.00964;0-5;0.0172;0-10;6;HT;00000018.DAT;uninfected;uninfected;30,9;0;
G43;11:00-11:30;12;A;4;0.746;0-30;0.739;0-30;0.722 ;5-30;0.667;10-30;0.835 ;0-5;0.888 ;0-10;7;Control;00000018.DAT;infected;infected;33,1;26;
B31;11:00-11:30;12;A;7;0.473;0-30;0.472;0-30;0.542;5-30;0.558;10-30;0.119 ;0-5;0.298;0-10;8;Control;00000018.DAT;uninfected;uninfected;30,2;0;
G4;12:25-12:55;13;B;8;0.593;0-30;0.572;0-30;0.619;5-30;0.696;10-30;0.326;0-5;0.319;0-10;1;CM;00000019.DAT;infected;infected;32,5;27;
B63;12:25-12:55;13;B;2;0.540;0-30;0.538;0-30;0.598;5-30;0.623;10-30;0.241;0-5;0.368;0-10;2;CM;00000019.DAT;uninfected;uninfected;34,8;0;
G6;12:25-12:55;13;B;6;0.253;0-30;0.250;0-30;0.250;5-30;0.307;10-30;0.235;0-5;0.128;0-10;3;HS;00000019.DAT;infected;infected;28,6;22;
B66;12:25-12:55;13;B;7;0.657;0-30;0.655;0-30;0.736;5-30;0.784;10-30;0.242;0-5;0.394;0-10;4;HS;00000019.DAT;uninfected;uninfected;33,5;0;
G70;12:25-12:55;13;A;1;0.252;0-30;0.249;0-30;0.291;5-30;0.353;10-30;0.0245;0-5;0.0342 ;0-10;5;HT;00000019.DAT;infected;infected;30;8;
B71;12:25-12:55;13;A;3;0.266;0-30;0.233;0-30;0.271;5-30;0.335;10-30;0.0163;0-5;0.0142 ;0-10;6;HT;00000019.DAT;uninfected;uninfected;30,8;0;
G92;12:25-12:55;13;A;4;0.634;0-30;0.639;0-30;0.608;5-30;0.633;10-30;0.790;0-5;0.649;0-10;7;Control;00000019.DAT;infected;infected;33,5;70;
B38;12:25-12:55;13;A;7;0.697;0-30;0.708;0-30;0.795;5-30;0.884;10-30;0.266 ;0-5;0.353;0-10;8;Control;00000019.DAT;uninfected;uninfected;30,9;0;
Y53;13:50-14:20;14;B;8;0.282;0-30;0.193;0-30;0.201;5-30;0.238;10-30;0.146 ;0-5;0.0993;0-10;1;CM;00000020.DAT;infected;infected;30,4;2;
B23;13:50-14:20;14;B;2;0.464;0-30;0.417;0-30;0.478;5-30;0.564;10-30;0.0948;0-5;0.115;0-10;2;CM;00000020.DAT;uninfected;uninfected;30,8;0;
Y85;13:50-14:20;14;B;6;0.418;0-30;0.412;0-30;0.487;5-30;0.594;10-30;0.0169;0-5;0.0370;0-10;3;HS;00000020.DAT;infected;infected;30,4;17;
B72;13:50-14:20;14;B;7;0.371;0-30;0.264;0-30;0.207;5-30;0.175;10-30;0.557;0-5;0.445;0-10;4;HS;00000020.DAT;uninfected;uninfected;31,2;0;
Y83;13:50-14:20;14;A;1;0.656;0-30;0.657;0-30;0.629;5-30;0.556 ;10-30;0.814 ;0-5;0.867;0-10;5;HT;00000020.DAT;infected;infected;33,2;27;
B90;13:50-14:20;14;A;3;0.652;0-30;0.617;0-30;0.672;5-30;0.682 ;10-30;0.341;0-5;0.486;0-10;6;HT;00000020.DAT;uninfected;uninfected;33,8;0;
Y4;13:50-14:20;14;A;7;0.341;0-30;0.332;0-30;0.386;5-30;0.449;10-30;0.0587;0-5;0.0966;0-10;7;Control;00000020.DAT;infected;infected;29,3;9;
B77;13:50-14:20;14;A;4;0.340;0-30;0.382;0-30;0.327;5-30;0.212;10-30;0.658;0-5;0.723;0-10;8;Control;00000020.DAT;uninfected;uninfected;28,6;0;
G54;15:10-15:40;15;B;8;0.699;0-30;0.707;0-30;0.697;5-30;0.648;10-30;0.772 ;0-5;0.832;0-10;1;CM;00000021.DAT;infected;infected;31;6;
