Video;Arena;Sequence;Individual;Beginning_seq;End_seq;Prop_time_lost;Smoothing_filter_window;Smoothing_Polyorder;Moving_threshold;Prop_time_moving;Average_Speed;Average_Speed_Moving;Traveled_Dist;Meander;Traveled_Dist_Moving;Meander_moving;Exploration_absolute_value;Exploration_relative_value;Exploration_method;Exploration_area;Exploration_aspect_param;Mean_nb_neighbours;Prop_time_with_at_least_one_neighbour;Mean_shortest_interind_distance;Mean_sum_interind_distances
20250708_123330A_stabilized_4A.avi;0;General;4A_HT2_5;0.0;4.0;0.0;0;0;0;1.0;2.2873124585941658;2.2873124585941658;9.148639925048325;3457.149933672948;9.148639925048325;3457.1499336729476;4.948285638737702;0.03021089302933217;Modern;1;NA;0.0;0.0;5.793239547772804;45.226687584790135
20250708_123330A_stabilized_4A.avi;0;General;4A_HT2_4;0.0;4.0;0.0;0;0;0;1.0;5.0441056531010515;5.0441056531010515;20.17507760723039;2208.190733715959;20.17507760723039;2208.190733715959;5.391529757728878;0.0329170425207627;Modern;1;NA;0.0;0.0;2.5989810253082237;36.963513432964284
20250708_123330A_stabilized_4A.avi;0;General;4A_HT2_1;0.0;4.0;0.0;0;0;0;0.9916666666666667;4.043779399898627;4.0777607393935735;16.17403933030582;2127.1700314847462;16.17403933030582;2127.1700314847462;2.393263504552932;0.014611651995396435;Modern;1;NA;0.0;0.0;1.329878301623334;41.14558710682411
20250708_123330A_stabilized_4A.avi;0;General;4A_HT2_3;0.0;4.0;0.0;0;0;0;1.0;3.1655974378386715;3.165597437838672;12.661545648311465;5788.474304074491;12.661545648311467;5788.474304074491;4.605663029517511;0.028119070577622942;Modern;1;NA;0.0;0.0;2.973786428748558;38.082423389836016
20250708_123330A_stabilized_4A.avi;1;General;4A_HS2_7;0.0;4.0;0.0;0;0;0;0.975;2.5392973799230205;2.6044075691518156;10.156512418864155;4968.5423145495915;10.156512418864157;4968.542314549593;6.917410374255974;0.04349462623932856;Modern;1;NA;0.0;0.0;2.6956164928108395;28.40126863338665
20250708_123330A_stabilized_4A.avi;1;General;4A_HS2_6;0.0;4.0;0.0;0;0;0;0.9833333333333333;1.2430378556818653;1.2641062939137617;4.971819968062922;7141.211101450085;4.971819968062923;7141.211101450086;2.822497033575997;0.01774702481059696;Modern;1;NA;0.0;0.0;2.6078303180240945;40.59933588267052
20250708_123330A_stabilized_4A.avi;1;General;4A_HS2_3;0.0;4.0;0.0;0;0;0;1.0;1.7868807732836167;1.786880773283617;7.147046623359577;11329.832642478652;7.147046623359577;11329.83264247865;3.078508722993314;0.019356750436467892;Modern;1;NA;0.0;0.0;3.6877753101359643;39.37456712943018
20250708_123330A_stabilized_4A.avi;1;General;4A_HS2_1;0.0;4.0;0.0;0;0;0;1.0;0.7333195423491456;0.7333195423491458;2.933082630554546;16395.844433345796;2.933082630554546;16395.844433345796;2.2582523648602177;0.014199221565518236;Modern;1;NA;0.0;0.0;4.585905810372193;41.92908912533801
20250708_123330A_stabilized_4A.avi;1;General;4A_HS2_4;0.0;4.0;0.0;0;0;0;1.0;0.6636195255612244;0.6636195255612246;2.6543011488349753;10672.348638618343;2.6543011488349757;10672.348638618343;1.715660426095157;0.010787564268896257;Modern;1;NA;0.0;0.0;3.740100950715478;42.62102854016661
20250708_123330A_stabilized_4A.avi;1;General;4A_HS2_2;0.0;4.0;0.0;0;0;0;0.925;1.047145675653921;1.1320493790853199;4.188303482383525;12290.615282323857;4.188303482383525;12290.615282323855;2.733338733778921;0.0171864238463633;Modern;1;NA;0.0;0.0;5.054571366448425;43.335404607127934
20250708_123330A_stabilized_4A.avi;1;General;4A_HS2_5;0.0;4.0;0.0;0;0;0;1.0;9.545588387285447;9.545588387285445;38.17980822859321;462.9110146790398;38.17980822859321;462.9110146790398;10.007382307223198;0.0629234539426265;Modern;1;NA;0.0;0.0;2.2726796995694807;32.26925581791536
20250708_123330A_stabilized_4A.avi;2;General;4A_CM1_1;0.0;4.0;0.0;0;0;0;1.0;1.6542110062533177;1.6542110062533175;6.616402931484505;5483.327899710983;6.6164029314845045;5483.327899710983;4.305072190201655;0.027072486984381257;Modern;1;NA;0.0;0.0;3.900541471141917;36.421951319037525
20250708_123330A_stabilized_4A.avi;2;General;4A_CM1_2;0.0;4.0;0.0;0;0;0;0.9916666666666667;1.232560602626846;1.2429182547497606;4.929913749590745;10933.298531740096;4.929913749590745;10933.298531740098;2.324484244709474;0.01461754104925911;Modern;1;NA;0.0;0.0;3.778032977642274;36.950784221056225
20250708_123330A_stabilized_4A.avi;2;General;4A_CM1_4;0.0;4.0;0.0;0;0;0;1.0;1.2168313735292522;1.2168313735292522;4.86700102738185;9496.660440337992;4.86700102738185;9496.660440337992;2.5078956042920297;0.01577092511013216;Modern;1;NA;0.0;0.0;3.2703640388048383;38.35821944054045
