Arena ID;Rep;Group;Time;Start_Time (min);Time;A(t);P_Status;Status;Notes
HT1;1;HT;15:18-17:18;;115;57,14%;infected;infected;
HT1;1;HT;15:18-17:18;;120;57,14%;infected;infected;
HT2;1;HT;15:18-17:18;10;5;0,00%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;10;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;15;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;20;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;25;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;30;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;35;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;40;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;45;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;50;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;55;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;60;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;65;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;70;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;75;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;80;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;85;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;90;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;95;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;100;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;105;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;110;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;115;28,57%;uninfected;uninfected;
HT2;1;HT;15:18-17:18;;120;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;13;5;0,00%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;10;0,00%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;15;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;20;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;25;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;30;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;35;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;40;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;45;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;50;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;55;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;60;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;65;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;70;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;75;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;80;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;85;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;90;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;95;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;100;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;105;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;110;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;115;28,57%;uninfected;uninfected;
CM1;2;CM;11:35-13:35;;120;28,57%;uninfected;uninfected;
CM2;2;CM;11:35-13:35;14;5;0,00%;infected;infected;
CM2;2;CM;11:35-13:35;;10;0,00%;infected;infected;
CM2;2;CM;11:35-13:35;;15;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;20;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;25;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;30;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;35;28,57%;infected;NA;died
CM2;2;CM;11:35-13:35;;40;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;45;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;50;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;55;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;60;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;65;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;70;28,57%;infected;NA;died
CM2;2;CM;11:35-13:35;;75;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;80;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;85;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;90;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;95;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;100;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;105;28,57%;infected;NA;died
CM2;2;CM;11:35-13:35;;110;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;115;28,57%;infected;infected;
CM2;2;CM;11:35-13:35;;120;28,57%;infected;NA;died
Control1;2;Control;11:35-13:35;33;5;0,00%;infected;NA;died
Control1;2;Control;11:35-13:35;;10;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;15;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;20;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;25;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;30;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;35;28,57%;infected;uninfected;
Control1;2;Control;11:35-13:35;;40;0,00%;infected;NA;died
Control1;2;Control;11:35-13:35;;45;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;50;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;55;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;60;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;65;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;70;0,00%;infected;uninfected;
Control1;2;Control;11:35-13:35;;75;0,00%;infected;NA;died
Control1;2;Control;11:35-13:35;;80;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;85;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;90;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;95;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;100;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;105;0,00%;infected;uninfected;
Control1;2;Control;11:35-13:35;;110;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;115;0,00%;infected;infected;
Control1;2;Control;11:35-13:35;;120;0,00%;infected;uninfected;
Control2;2;Control;11:35-13:35;16;5;0,00%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;10;0,00%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;15;0,00%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;20;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;25;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;30;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;35;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;40;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;45;0,00%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;50;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;55;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;60;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;65;0,00%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;70;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;75;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;80;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;85;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;90;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;95;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;100;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;105;28,57%;uninfected;uninfected;
Control2;2;Control;11:35-13:35;;110;28,57%;;uninfected;
Control2;2;Control;11:35-13:35;;115;28,57%;uninfected;uninfected;
